PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,Transported,Side,Deck,Cabin_number,Dépense_totale
0001_01,Europa,False,TRAPPIST-1e,39.0,False,False,P,B,0.0,0.0
0002_01,Earth,False,TRAPPIST-1e,24.0,False,True,S,F,0.0,736.0
0003_01,Europa,False,TRAPPIST-1e,58.0,True,False,S,A,0.0,10383.0
0003_02,Europa,False,TRAPPIST-1e,33.0,False,False,S,A,0.0,5176.0
0004_01,Earth,False,TRAPPIST-1e,16.0,False,True,S,F,1.0,1091.0
0005_01,Earth,False,PSO J318.5-22,44.0,False,True,P,F,0.0,774.0
0006_01,Earth,False,TRAPPIST-1e,26.0,False,True,S,F,2.0,1584.0
0006_02,Earth,True,TRAPPIST-1e,28.0,False,True,S,G,0.0,
0007_01,Earth,False,TRAPPIST-1e,35.0,False,True,S,F,3.0,1018.0
0008_01,Europa,True,55 Cancri e,14.0,False,True,P,B,1.0,0.0
0008_02,Europa,True,TRAPPIST-1e,34.0,False,True,P,B,1.0,
0008_03,Europa,False,55 Cancri e,45.0,False,True,P,B,1.0,8157.0
0009_01,Mars,False,TRAPPIST-1e,32.0,False,True,P,F,1.0,1309.0
0010_01,Earth,False,TRAPPIST-1e,48.0,False,False,S,G,1.0,809.0
0011_01,Earth,False,TRAPPIST-1e,28.0,False,True,P,F,2.0,1003.0
0012_01,Earth,False,TRAPPIST-1e,31.0,False,False,,,,908.0
0014_01,Mars,False,55 Cancri e,27.0,False,False,P,F,3.0,
0015_01,Earth,False,55 Cancri e,24.0,False,False,P,F,4.0,638.0
0016_01,Mars,True,TRAPPIST-1e,45.0,False,True,P,F,5.0,0.0
0017_01,Earth,False,TRAPPIST-1e,0.0,False,True,P,G,0.0,0.0
0017_02,Earth,False,55 Cancri e,14.0,False,False,P,F,6.0,1092.0
0020_01,Earth,True,TRAPPIST-1e,1.0,False,False,S,E,0.0,0.0
0020_02,Earth,True,55 Cancri e,49.0,False,False,S,E,0.0,0.0
0020_03,Earth,True,55 Cancri e,29.0,False,False,S,E,0.0,
0020_04,Earth,False,TRAPPIST-1e,10.0,False,True,S,E,0.0,0.0
0020_05,Earth,True,PSO J318.5-22,1.0,False,False,S,E,0.0,
0020_06,Earth,False,TRAPPIST-1e,7.0,False,False,S,E,0.0,0.0
0022_01,Mars,False,TRAPPIST-1e,21.0,False,False,P,D,0.0,1051.0
0024_01,Europa,True,TRAPPIST-1e,62.0,False,True,S,C,2.0,
0025_01,Earth,False,TRAPPIST-1e,15.0,False,False,S,F,6.0,1223.0
0026_01,Europa,False,55 Cancri e,34.0,False,False,P,C,0.0,7861.0
0028_01,Mars,False,TRAPPIST-1e,43.0,False,False,P,F,8.0,1309.0
0030_01,Earth,False,TRAPPIST-1e,32.0,False,False,S,G,4.0,1821.0
0031_01,Mars,False,TRAPPIST-1e,47.0,False,True,P,F,9.0,2854.0
0031_02,Mars,False,TRAPPIST-1e,2.0,False,True,P,F,9.0,0.0
0031_03,Mars,False,TRAPPIST-1e,20.0,False,True,P,F,9.0,
0034_01,Europa,True,55 Cancri e,28.0,False,True,S,D,1.0,0.0
0035_01,Mars,False,55 Cancri e,23.0,False,False,P,D,1.0,2699.0
0036_01,Earth,False,55 Cancri e,15.0,,False,S,F,8.0,961.0
0038_01,Earth,False,55 Cancri e,20.0,False,False,S,F,10.0,3355.0
0039_01,Earth,True,55 Cancri e,30.0,False,False,P,G,1.0,
0041_01,Earth,True,TRAPPIST-1e,17.0,False,True,P,G,2.0,0.0
0043_01,Europa,False,TRAPPIST-1e,45.0,False,False,P,B,3.0,3575.0
0044_01,Earth,True,TRAPPIST-1e,55.0,False,False,P,G,3.0,0.0
0044_02,Earth,True,55 Cancri e,4.0,False,True,P,G,3.0,0.0
0044_03,Earth,True,PSO J318.5-22,21.0,False,True,P,G,3.0,0.0
0045_01,Mars,False,TRAPPIST-1e,21.0,False,False,P,F,10.0,1214.0
0045_02,Mars,True,,19.0,False,True,P,F,10.0,0.0
0050_01,Earth,False,55 Cancri e,35.0,False,False,S,E,1.0,
0051_01,Earth,False,TRAPPIST-1e,56.0,False,False,S,E,2.0,1618.0
0052_01,Earth,False,TRAPPIST-1e,,False,False,S,G,6.0,4689.0
0053_01,Earth,False,TRAPPIST-1e,25.0,False,True,S,F,11.0,1939.0
0056_01,Europa,False,TRAPPIST-1e,2.0,False,True,S,A,1.0,0.0
0056_02,Europa,True,TRAPPIST-1e,38.0,False,True,S,A,1.0,0.0
0056_03,Europa,False,TRAPPIST-1e,27.0,False,True,S,A,1.0,4547.0
0058_01,Earth,True,PSO J318.5-22,36.0,False,False,S,G,7.0,0.0
0061_01,Earth,False,TRAPPIST-1e,22.0,False,False,S,F,12.0,2667.0
0062_01,Earth,False,TRAPPIST-1e,62.0,False,False,S,F,13.0,634.0
0064_01,Mars,True,TRAPPIST-1e,15.0,False,True,S,F,14.0,0.0
0064_02,,True,TRAPPIST-1e,33.0,False,True,S,E,3.0,
0066_01,Earth,False,TRAPPIST-1e,62.0,False,False,P,G,6.0,811.0
0067_01,Earth,True,PSO J318.5-22,0.0,False,True,S,G,10.0,0.0
0067_02,Earth,False,TRAPPIST-1e,18.0,False,True,S,G,10.0,705.0
0067_03,Earth,False,55 Cancri e,21.0,False,False,S,F,15.0,2007.0
0068_01,Mars,False,TRAPPIST-1e,,False,False,S,E,4.0,1048.0
0069_01,Earth,False,TRAPPIST-1e,42.0,False,True,S,F,16.0,902.0
0070_01,Earth,False,TRAPPIST-1e,19.0,False,False,P,F,13.0,922.0
0071_01,Earth,False,TRAPPIST-1e,17.0,False,False,P,F,14.0,2233.0
0072_01,Earth,False,TRAPPIST-1e,14.0,False,False,S,F,17.0,1064.0
0073_01,Mars,False,PSO J318.5-22,37.0,False,False,P,D,3.0,879.0
0074_01,Europa,False,TRAPPIST-1e,42.0,False,True,S,C,3.0,8904.0
0076_01,Mars,False,TRAPPIST-1e,27.0,False,True,S,F,18.0,1165.0
0077_01,Mars,False,TRAPPIST-1e,28.0,False,True,P,F,15.0,1309.0
0078_01,Europa,False,TRAPPIST-1e,38.0,False,False,S,C,4.0,15815.0
0081_01,Earth,True,TRAPPIST-1e,13.0,False,False,S,G,13.0,0.0
0082_01,Mars,False,TRAPPIST-1e,42.0,False,False,P,F,16.0,7406.0
0082_02,Mars,True,TRAPPIST-1e,2.0,False,True,P,F,16.0,0.0
0082_03,Mars,False,TRAPPIST-1e,8.0,False,True,P,F,16.0,0.0
0084_01,Earth,False,TRAPPIST-1e,24.0,False,True,S,G,14.0,705.0
0085_01,Europa,True,TRAPPIST-1e,40.0,False,True,S,C,5.0,0.0
0086_01,Earth,False,TRAPPIST-1e,43.0,False,False,P,F,17.0,1362.0
0088_01,Mars,True,PSO J318.5-22,45.0,False,True,S,E,5.0,0.0
0090_01,Earth,True,TRAPPIST-1e,35.0,False,True,S,G,15.0,0.0
0091_01,Earth,True,TRAPPIST-1e,26.0,False,True,S,G,16.0,
0091_02,Earth,False,TRAPPIST-1e,27.0,False,False,S,F,20.0,917.0
0092_01,Earth,False,TRAPPIST-1e,19.0,False,False,P,G,9.0,705.0
0092_02,Earth,True,TRAPPIST-1e,0.0,False,True,P,G,9.0,
0092_03,Earth,True,TRAPPIST-1e,3.0,False,True,P,G,9.0,0.0
0097_01,Europa,False,TRAPPIST-1e,54.0,False,False,S,A,2.0,1848.0
0098_01,Earth,False,TRAPPIST-1e,26.0,False,False,P,G,11.0,893.0
0098_02,Earth,False,TRAPPIST-1e,26.0,False,True,P,G,11.0,3855.0
0099_01,Earth,False,PSO J318.5-22,23.0,False,False,P,F,19.0,1301.0
0099_02,Earth,,TRAPPIST-1e,2.0,False,True,P,G,12.0,0.0
0101_01,Mars,True,TRAPPIST-1e,31.0,False,True,,,,0.0
0102_01,Earth,False,TRAPPIST-1e,18.0,False,False,S,F,23.0,921.0
0103_01,Earth,False,TRAPPIST-1e,24.0,False,True,S,F,24.0,
0103_02,Earth,True,55 Cancri e,9.0,False,True,S,G,18.0,0.0
0103_03,Earth,True,TRAPPIST-1e,6.0,False,False,S,G,18.0,0.0
0105_01,Earth,,TRAPPIST-1e,27.0,False,False,P,F,21.0,703.0
0107_01,Mars,False,TRAPPIST-1e,21.0,False,False,S,D,2.0,1765.0
